selec,start,end,sound.files,File_Offset,Call_Type,Distance,Quality,CallerID,Cert_ID,Context,Cert_Con,Elicitor1_ID,Cert_ID_Elic1,Comments,Alt_Elic1,Alt_Caller,Alt_Con,selec.file,soundID,CallerGrp,CallerSex,CallerDOB,CallerMom,CallerMatr,Elicitor1Grp,Elicitor1Sex,Elicitor1DOB,Elicitor1Mom,Elicitor1Matr,date,CallerAge,Elicitor1Age,CallerBinAge,ElicitorBinAge,CallerAdMale,Elicitor1AdMale,newSocCat,Context2,SndFile,QR1,QR2,Cert_ID_Bin,Cert_Con_Bin,Cert_ID_Elic1_Bin,Con_Usable,file,sprsMed,sprsMbw,sprsEqbw,sprsMc,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Fw1,Fw2,Fw3,Fw4,Mw1,Mw2,Mw3,Mw4,F1,F2,F3,F4,M1,M2,M3,M4
2,116.0419351,123.1476552,20191122_1012.WAV,116.042,RUM,NA,3,M17.08,0.5,COM,1,M18.0619,1,"Caller photos: LE1430,1431. Age=Subadult; Allomother reassuring calf searching for its mom; On 12/3/20 added ID as M17.08 based on age and photos. Alt caller=M17.8610",NA,NA,NA,20191122_1012.Table.1.selections.txt,20191122_1012_sel2.wav,FirstLadies,F,4/27/2008,M17,M17,FirstLadies,F,9/20/2019,M18.06,M17,11/22/2019,4226,63,adult,juv,no,no,A2J,care,20191122_1012,NA,NA,0,1,1,1,20191122_1012_sel2.wav,0,0,0,-1,0.00250424,-0.004802092,0.002477145,0.005331947,0.001149245,-0.007182002,-0.001708504,-0.002067431,-0.000676908,-0.002065719,0.006708263,0.000764653,0.223214286,1.227678571,3.794642857,9.486607143,3.14928655,3.329656437,2.361175204,3.437296546,0.223214286,1.227678571,2.790178571,9.598214286,2.361632917,2.260023961,1.789852173,8.730563632
10,1480.87,1487.58863,20191213_1311.WAV,1480.87,RUM,5,2,R6.9001,1,GWG,1,R7,1,"Wendy rubbed against Poe, then Poe gave a RUM",NA,NA,NA,20191213_1125_to_20191213_1311.Table.1.selections.txt,20191213_1311_sel10.wav,Poetics,F,10/23/2001,R6.90,R7,Poetics,F,6/30/1983,NA,R7,12/13/2019,6625,13315,adult,adult,no,no,YngA2A,greeting,20191213_1311,NA,NA,1,1,1,1,20191213_1311_sel10.wav,0,0.008130081,0.008130081,-1,-0.002277619,0.003019639,0.001479088,-0.00124658,0.000347759,0.001310728,-0.000167723,0.006367386,0.00115285,-0.005178992,-0.002273524,0.001985215,0.334821429,3.013392857,4.017857143,6.919642857,2.61332742,3.318491628,2.851597533,2.793715052,0.223214286,2.790178571,9.486607143,12.72321429,2.41061828,3.117951754,5.646293633,2.548657122
43,608.9056,616.3891561,20191216_1227.WAV,608.9056,RUM,15,2,R24,1,GJJ,1,R24.09,1,greeting as R24.09 reaches R24; guessing the first call is R24 because it has a lower f0,NA,NA,NA,20191216_1050_to_20191216_1426.Table.1.selections.txt,20191216_1227_sel43.wav,Artists,F,6/30/1980,NA,R23,Artists,M,4/8/2009,R24,R23,12/16/2019,14413,3904,adult,juv,no,no,MomJuv,greeting,20191216_1227,NA,NA,1,1,1,1,20191216_1227_sel43.wav,0,0,0,-1,0.001389686,-0.003055791,-0.001458698,-0.00046683,0.00083948,0.002685494,0.001743552,-0.003176681,0.000380873,-8.58E-05,-0.00094068,0.000295398,2.064732143,2.957589286,7.421875,13.39285714,5.576209465,2.447136355,2.525998943,3.637062622,0.669642857,2.455357143,12.05357143,13.39285714,2.462279221,2.312476374,2.380284439,8.987665432
44,616.3902,618.6988591,20191216_1227.WAV,616.3902,RUM,15,2,R24.09,1,GJJ,1,R24,1,greeting as R24.09 reaches R24. Guessing this one is R24.09 because it has a higher f0,NA,NA,NA,20191216_1050_to_20191216_1426.Table.1.selections.txt,20191216_1227_sel44.wav,Artists,M,4/8/2009,R24,R23,Artists,F,6/30/1980,NA,R23,12/16/2019,3904,14413,juv,adult,no,no,JuvOff,greeting,20191216_1227,NA,NA,1,1,1,1,20191216_1227_sel44.wav,0,0,0,0,0.006446497,-0.004714674,0.000964768,0.00270225,-0.00048739,-0.004205105,0.003465856,-0.001122071,-0.000964064,-0.002666114,0.000160503,0.000236884,1.116071429,4.241071429,7.142857143,8.258928571,2.337861191,1.982305053,2.040315201,1.710768917,0.446428571,4.241071429,7.142857143,10.71428571,2.151210391,1.61737613,2.057593252,1.421012286
20,981.3545,989.3913421,20191218_1104_2.wav,981.3545,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel20.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel20.wav,0,0,0,-1,0.002703207,0.000756558,-2.54E-05,-0.006621203,-0.002974961,-0.003632885,0.000342288,0.001420694,-0.002291185,0.003248996,-0.003758524,0.00420384,0.167410714,1.618303571,7.03125,11.77455357,3.686007737,3.343922331,2.676402025,4.825292982,0.167410714,7.03125,10.71428571,11.77455357,3.127797875,2.573651674,2.468997512,3.343168237
21,990.9221,999.3416489,20191218_1104_2.wav,990.9221,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel21.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel21.wav,0,0,0,-1,0.002565091,0.003077985,0.00037422,-0.00294737,-0.003962046,-0.001280072,-0.003204313,0.002013471,0.002104378,0.000973257,-0.002658536,0.003120136,0.167410714,5.803571429,7.087053571,8.59375,3.226844697,4.630961221,4.069616136,3.722139116,0.613839286,2.064732143,5.803571429,7.087053571,2.697135341,2.768464087,2.618280054,2.787618053
23,1003.2166,1010.700643,20191218_1104_2.wav,1003.2166,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel23.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel23.wav,0,0.008030027,0.008060119,-1,0.002996299,-0.000932682,-0.004445379,-0.004307767,-0.001095585,-0.000654518,-0.000447764,0.007656247,0.00563831,0.005627692,-0.000177339,0.003373704,0.669642857,1.450892857,2.232142857,3.013392857,3.463137919,3.763497509,3.50697796,3.654206365,0.669642857,2.232142857,3.013392857,10.49107143,5.104845167,2.541732388,3.399243005,3.82607178
24,1015.5908,1023.117366,20191218_1104_2.wav,1015.5908,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel24.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel24.wav,0,0,0,-1,0.001780343,-0.001959239,-0.001053314,-0.002684341,0.000571707,0.000277467,-0.00050424,0.005076797,-0.000110121,0.0016063,0.000491841,0.000571674,0.223214286,2.455357143,4.352678571,5.636160714,2.611729172,2.589280522,3.815085155,2.32518025,0.223214286,1.506696429,4.352678571,12.16517857,2.628599235,2.256525068,3.080900006,2.822239585
25,1063.1866,1069.05477,20191218_1104_2.wav,1063.1866,RUM,NA,2,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel25.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel25.wav,0,0,0,0,0.001602421,-0.000568357,-0.001105329,-0.000500698,0.001351777,0.00118733,0.000824935,0.003972387,-0.000544713,0.001151281,-9.80E-05,0.000840972,0.334821429,5.022321429,12.16517857,13.72767857,3.298037618,2.00695677,2.168264649,1.916597861,0.334821429,3.125,6.584821429,12.16517857,2.817574855,2.322888117,2.325032149,5.344138423
31,1297.9992,1304.404633,20191218_1104_2.wav,1297.9992,RUM,20,2,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba shortly before this call, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel31.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel31.wav,0,0,0,-1,0.001436912,0.0023918,0.000420576,-0.00330393,-0.000804547,5.79E-05,6.10E-05,0.001788604,-0.003145611,0.002273352,8.04E-05,0.001307767,3.180803571,3.794642857,5.747767857,7.198660714,3.117862501,2.799544075,3.761862923,2.703302781,0.334821429,2.790178571,5.747767857,10.37946429,2.187638984,2.212747706,2.88108243,2.961291251
